flightNumber,plane,dep_date,dep_time,dep_airport_name,dep_airport_code,dep_terminal,dep_status,dep_weather_min,dep_weather_max,dep_weather_desc,dep_counter,dep_door,arr_date,arr_time,arr_airport_name,arr_airport_code,arr_terminal,arr_status,arr_weather_min,arr_weather_max,arr_weather_desc,arr_room,arr_belt,timestamp,dep_date_time,arr_date_time,duracion_vuelo
IBB627, ATR-42/72,2018-04-13,20:00,TENERIFE NORTE,TFN,1,El vuelo ha despegado a las 20:04,17,22,Nubosidad variable,,3,2018-04-13,20:30,LA PALMA,SPC,N,El vuelo ha aterrizado a las 20:34,16,21,Cubierto de nubes altas y medias,LLNT,4,2018-04-13 23:17:40,2018-04-13 20:00:00,2018-04-13 20:30:00,30.0
VLG2016, 32B,2018-04-13,20:30,BARCELONA-EL PRAT,BCN,T1,El vuelo ha despegado a las 20:29,12,17,Lluvia débil,,,2018-04-13,22:00,GRANADA-JAÉN F.G.L.,GRX,1,El vuelo ha aterrizado a las 21:51,5,17,Abertura de claros,2,2,2018-04-13 23:17:40,2018-04-13 20:30:00,2018-04-13 22:00:00,90.0
AEA6097, BOEING 737-800 WINGLETS,2018-04-13,19:20,MADRID-BARAJAS ADOLFO SUÁREZ,MAD,2,El vuelo ha despegado a las 20:01,6,14,Abertura de claros,,,2018-04-13,20:40,PALMA DE MALLORCA,PMI,N,El vuelo ha aterrizado a las 21:28,12,17,Lluvia moderada,NT,15,2018-04-13 23:17:39,2018-04-13 19:20:00,2018-04-13 20:40:00,80.0
AEA9057, BOEING 737-800 WINGLETS,2018-04-13,18:15,MADRID-BARAJAS ADOLFO SUÁREZ,MAD,2,El vuelo ha despegado a las 19:28,6,14,Abertura de claros,,,2018-04-13,20:10,TENERIFE NORTE,TFN,1,El vuelo ha aterrizado a las 20:57,17,22,Nubosidad variable,1,5,2018-04-13 23:17:39,2018-04-13 18:15:00,2018-04-13 20:10:00,115.0
VOE3591, BOEING 717,2018-04-14,14:05,PALMA DE MALLORCA,PMI,-,Salida prevista a las 14:05,12,17,Lluvia moderada,,,2018-04-14,15:55,ASTURIAS,OVD,1,Llegada prevista a las 15:55,8,14,Chubascos dispersos,SC,4,2018-04-13 23:17:39,2018-04-14 14:05:00,2018-04-14 15:55:00,110.0
VLG1457, 32A,2018-04-13,20:25,ALICANTE-ELCHE,ALC,N,El vuelo ha despegado a las 20:39,11,18,Nubosidad variable,,,2018-04-13,22:05,SANTIAGO,SCQ,T,El vuelo ha aterrizado a las 22:11,10,15,Nubosidad variable,B,2,2018-04-13 23:17:38,2018-04-13 20:25:00,2018-04-13 22:05:00,100.0
VLG9771, AIRBUS A320,2018-04-13,21:00,BARCELONA-EL PRAT,BCN,T1,El vuelo ha despegado a las 21:33,12,17,Lluvia débil,,,2018-04-13,22:25,MADRID-BARAJAS ADOLFO SUÁREZ,MAD,4,El vuelo ha aterrizado a las 22:47,6,14,Abertura de claros,10,14,2018-04-13 23:17:37,2018-04-13 21:00:00,2018-04-13 22:25:00,85.0
AEA4530, ATR-72,2018-04-14,17:35,MENORCA,MAH,1,Salida prevista a las 17:35,12,17,Lluvia moderada,,,2018-04-14,18:10,PALMA DE MALLORCA,PMI,-,Llegada prevista a las 18:10,12,17,Lluvia moderada, - ,,2018-04-13 23:17:37,2018-04-14 17:35:00,2018-04-14 18:10:00,35.0
FIN5584, BOMBARDIER CRJ-1000,2018-04-14,06:00,ALICANTE-ELCHE,ALC,N,Salida prevista a las 06:00,11,18,Nubosidad variable,,,2018-04-14,07:10,MADRID-BARAJAS ADOLFO SUÁREZ,MAD,-,Llegada prevista a las 07:10,6,14,Abertura de claros, - ,,2018-04-13 23:17:36,2018-04-14 06:00:00,2018-04-14 07:10:00,70.0
RYR2084, BOEING 737-800 WINGLETS,2018-04-13,20:15,MADRID-BARAJAS ADOLFO SUÁREZ,MAD,1,El vuelo ha despegado a las 20:26,6,14,Abertura de claros,,,2018-04-13,21:35,IBIZA,IBZ,1,El vuelo ha aterrizado a las 21:43,13,17,Chubascos dispersos,02,3,2018-04-13 23:17:36,2018-04-13 20:15:00,2018-04-13 21:35:00,80.0
IBB475, ATR-42/72,2018-04-13,19:15,LANZAROTE,ACE,2,El vuelo ha despegado a las 19:30,17,22,Cubierto de nubes altas y medias,,,2018-04-13,20:05,TENERIFE NORTE,TFN,1,El vuelo ha aterrizado a las 20:18,17,22,Nubosidad variable,1,2,2018-04-13 23:17:36,2018-04-13 19:15:00,2018-04-13 20:05:00,50.0
IBS3835, AIRBUS A321,2018-04-14,06:40,GRAN CANARIA,LPA,-,Salida prevista a las 06:40,16,21,Cubierto de nubes altas y medias,,,2018-04-14,10:20,MADRID-BARAJAS ADOLFO SUÁREZ,MAD,-,Llegada prevista a las 10:20,6,14,Abertura de claros, - ,,2018-04-13 23:17:36,2018-04-14 06:40:00,2018-04-14 10:20:00,220.0
IBE8359, CANADAIR CRJ-200,2018-04-13,21:25,SANTIAGO,SCQ,T,El vuelo ha despegado a las 21:15,10,15,Nubosidad variable,,5,2018-04-13,22:25,BILBAO,BIO,O,El vuelo ha aterrizado a las 22:05,7,17,Chubascos dispersos,N,1,2018-04-13 23:17:35,2018-04-13 21:25:00,2018-04-13 22:25:00,60.0
IBS3843, AIRBUS A320,2018-04-14,14:25,LA PALMA,SPC,N,Salida prevista a las 14:25,16,21,Cubierto de nubes altas y medias,,3,2018-04-14,18:15,MADRID-BARAJAS ADOLFO SUÁREZ,MAD,-,Llegada prevista a las 18:15,6,14,Abertura de claros, - ,,2018-04-13 23:17:35,2018-04-14 14:25:00,2018-04-14 18:15:00,230.0
RYR2016, BOEING 737-800 WINGLETS,2018-04-13,17:30,LANZAROTE,ACE,1,El vuelo ha despegado a las 17:41,17,22,Cubierto de nubes altas y medias,,5,2018-04-13,21:05,MADRID-BARAJAS ADOLFO SUÁREZ,MAD,1,El vuelo ha aterrizado a las 21:25,6,14,Abertura de claros,02,10,2018-04-13 23:17:35,2018-04-13 17:30:00,2018-04-13 21:05:00,215.0
QTR6970, ATR-72,2018-04-13,21:30,MADRID-BARAJAS ADOLFO SUÁREZ,MAD,4,El vuelo ha despegado a las 21:34,6,14,Abertura de claros,,,2018-04-13,22:40,VALENCIA,VLC,1,El vuelo ha aterrizado a las 22:28,11,21,Nubosidad variable,2,5,2018-04-13 23:17:35,2018-04-13 21:30:00,2018-04-13 22:40:00,70.0
VLG3518, 32B,2018-04-13,20:20,BARCELONA-EL PRAT,BCN,T1,El vuelo ha despegado a las 21:06,12,17,Lluvia débil,,,2018-04-13,21:10,IBIZA,IBZ,1,El vuelo ha aterrizado a las 22:03,13,17,Chubascos dispersos,02,6,2018-04-13 23:17:35,2018-04-13 20:20:00,2018-04-13 21:10:00,50.0
IBB622, ATR-72,2018-04-14,14:00,LA PALMA,SPC,N,Salida prevista a las 14:00,16,21,Cubierto de nubes altas y medias,,5,2018-04-14,14:30,TENERIFE NORTE,TFN,1,Llegada prevista a las 14:30,17,22,Nubosidad variable,1,2,2018-04-13 23:17:34,2018-04-14 14:00:00,2018-04-14 14:30:00,30.0
IBE2217, ATR-72,2018-04-13,21:15,GRAN CANARIA,LPA,-,El vuelo ha despegado a las 21:11,16,21,Cubierto de nubes altas y medias,,,2018-04-13,21:55,TENERIFE SUR,TFS,A,El vuelo ha aterrizado a las 21:44,17,22,Nubosidad variable,A,,2018-04-13 23:17:33,2018-04-13 21:15:00,2018-04-13 21:55:00,40.0
IBB655, ATR-72,2018-04-14,07:55,TENERIFE NORTE,TFN,1,Salida prevista a las 08:05,17,22,Nubosidad variable,,,2018-04-14,08:30,EL HIERRO,VDE,-,Llegada prevista a las 08:30,14,17,Nubosidad variable, - ,,2018-04-13 23:17:32,2018-04-14 07:55:00,2018-04-14 08:30:00,35.0
AEA4532, ATR-72,2018-04-14,12:20,MENORCA,MAH,1,Salida prevista a las 12:20,12,17,Lluvia moderada,,,2018-04-14,12:55,PALMA DE MALLORCA,PMI,-,Llegada prevista a las 12:55,12,17,Lluvia moderada, - ,,2018-04-13 23:17:32,2018-04-14 12:20:00,2018-04-14 12:55:00,35.0
VLG1424, AIRBUS A320,2018-04-13,20:30,BARCELONA-EL PRAT,BCN,T1,El vuelo ha despegado a las 20:38,12,17,Lluvia débil,,,2018-04-13,21:45,BILBAO,BIO,O,El vuelo ha aterrizado a las 21:42,7,17,Chubascos dispersos,N,2,2018-04-13 23:17:31,2018-04-13 20:30:00,2018-04-13 21:45:00,75.0
IBE8849, CANADAIR CRJ-900,2018-04-13,20:50,SEVILLA,SVQ,1,El vuelo ha despegado a las 20:39,8,17,Abertura de claros,,,2018-04-13,22:20,VALENCIA,VLC,1,El vuelo ha aterrizado a las 21:40,11,21,Nubosidad variable,1,1,2018-04-13 23:17:31,2018-04-13 20:50:00,2018-04-13 22:20:00,90.0
IBE8649, CANADAIR CRJ-900,2018-04-14,17:40,GRANADA-JAÉN F.G.L.,GRX,-,Salida prevista a las 17:40,5,17,Abertura de claros,,,2018-04-14,18:45,MADRID-BARAJAS ADOLFO SUÁREZ,MAD,-,Llegada prevista a las 18:45,6,14,Abertura de claros, - ,,2018-04-13 23:17:31,2018-04-14 17:40:00,2018-04-14 18:45:00,65.0
RYR2062, BOEING 737-800 WINGLETS,2018-04-13,21:55,PALMA DE MALLORCA,PMI,N,El vuelo ha despegado a las 22:02,12,17,Lluvia moderada,,,2018-04-13,23:30,MADRID-BARAJAS ADOLFO SUÁREZ,MAD,1,El vuelo ha aterrizado,6,14,Abertura de claros,02,11,2018-04-13 23:17:30,2018-04-13 21:55:00,2018-04-13 23:30:00,95.0
VLG3715, 32A,2018-04-14,11:10,MENORCA,MAH,1,Salida prevista a las 11:10,12,17,Lluvia moderada,,6,2018-04-14,12:05,BARCELONA-EL PRAT,BCN,-,Llegada prevista a las 12:05,12,17,Lluvia débil, - ,,2018-04-13 23:17:29,2018-04-14 11:10:00,2018-04-14 12:05:00,55.0
