flightNumber,plane,dep_date,dep_time,dep_airport_name,dep_airport_code,dep_terminal,dep_status,dep_weather_min,dep_weather_max,dep_weather_desc,dep_counter,dep_door,arr_date,arr_time,arr_airport_name,arr_airport_code,arr_terminal,arr_status,arr_weather_min,arr_weather_max,arr_weather_desc,arr_room,arr_belt,timestamp,dep_date_time,arr_date_time,duracion_vuelo
IBS2218, ATR-72,,-,GRAN CANARIA,LPA,-,-,,,-,,,2018-04-15,16:15,EL HIERRO,VDE,1,El vuelo ha aterrizado a las 16:19,14,18,Nubes altas,01,1,2018-04-15 17:46:46,,2018-04-15 16:15:00,
IBE2203, ATR-72,,-,GRAN CANARIA,LPA,-,-,,,-,,,2018-04-15,13:45,LANZAROTE,ACE,4,El vuelo ha aterrizado a las 13:52,15,25,Despejado,4,,2018-04-15 16:45:46,,2018-04-15 13:45:00,
IBE8498, ATR-42/72,,-,PALMA DE MALLORCA,PMI,-,-,,,-,,,2018-04-15,14:45,MENORCA,MAH,1,El vuelo ha aterrizado a las 14:47,12,20,Despejado,1,4,2018-04-15 16:45:37,,2018-04-15 14:45:00,
ANE8634, CANADAIR CRJ-900,,-,VALENCIA,VLC,-,-,,,-,,,2018-04-15,15:25,PALMA DE MALLORCA,PMI,N,El vuelo ha aterrizado a las 15:18,11,21,Despejado,NT,4,2018-04-15 16:45:37,,2018-04-15 15:25:00,
IBE2249, ATR-42/72,,-,TENERIFE NORTE,TFN,-,-,,,-,,,2018-04-15,14:10,FUERTEVENTURA,FUE,1,The flight landed at 14:07,16,24,Despejado,A,14,2018-04-15 16:45:36,,2018-04-15 14:10:00,
IBE8312, BOMBARDIER CRJ-1000,,-,BARCELONA-EL PRAT,BCN,-,-,,,-,,,2018-04-15,15:30,BADAJOZ,BJZ,1,El vuelo ha aterrizado a las 15:29,9,16,Lluvia,01,1,2018-04-15 16:45:04,,2018-04-15 15:30:00,
IBE8110, BOMBARDIER CRJ-1000,,-,PALMA DE MALLORCA,PMI,-,-,,,-,,,2018-04-15,13:55,IBIZA,IBZ,1,El vuelo ha aterrizado a las 13:40,12,20,Despejado,02,1,2018-04-15 15:43:15,,2018-04-15 13:55:00,
IBE8212, CANADAIR CRJ-200,,-,PALMA DE MALLORCA,PMI,-,-,,,-,,,2018-04-15,15:30,ALMERIA,LEI,1,El vuelo ha aterrizado a las 15:17,11,20,Despejado,1,1,2018-04-15 15:42:52,,2018-04-15 15:30:00,
IBE8333, CANADAIR CRJ-200,,-,PALMA DE MALLORCA,PMI,-,-,,,-,,,2018-04-15,14:10,ASTURIAS,OVD,1,El vuelo ha aterrizado a las 14:06,12,15,Lluvia,SC,4,2018-04-15 15:42:32,,2018-04-15 14:10:00,
IBE8635, BOMBARDIER CRJ-1000,,-,PALMA DE MALLORCA,PMI,-,-,,,-,,,2018-04-15,13:35,VALENCIA,VLC,1,El vuelo ha aterrizado a las 13:42,11,26,Despejado,1,2,2018-04-15 15:42:25,,2018-04-15 13:35:00,
ANE8111, ATR-42/72,,-,IBIZA,IBZ,-,-,,,-,,,2018-04-15,12:50,PALMA DE MALLORCA,PMI,N,El vuelo ha aterrizado a las 12:44,11,21,Despejado,NT,2,2018-04-15 14:40:46,,2018-04-15 12:50:00,
