flightNumber,plane,dep_date,dep_time,dep_airport_name,dep_airport_code,dep_terminal,dep_status,dep_weather_min,dep_weather_max,dep_weather_desc,dep_counter,dep_door,arr_date,arr_time,arr_airport_name,arr_airport_code,arr_terminal,arr_status,arr_weather_min,arr_weather_max,arr_weather_desc,arr_room,arr_belt,timestamp,dep_date_time,arr_date_time,duracion_vuelo
AEA023, AIRBUS A330-200,2018-04-13,23:45,MADRID-BARAJAS ADOLFO SUÁREZ,MAD,1,El vuelo ha despegado a las 00:02,5,17,Nubes altas,,,,-,CORDOBA,COR,-,-,,,-,-,,2018-04-14 01:19:27,2018-04-13 23:45:00,,
EZY8616, AIRBUS A319,2018-04-13,23:50,MALAGA-COSTA DEL SOL,AGP,2,El vuelo ha despegado a las 00:01,11,21,Despejado,,,,-,LONDRES /GATWICK,LGW,-,-,,,-,-,,2018-04-14 01:19:27,2018-04-13 23:50:00,,
WZZ4406, 32B,2018-04-13,22:00,BARCELONA-EL PRAT,BCN,T2 B,El vuelo ha despegado a las 23:24,13,17,Abertura de claros,,,,-,SOFIA,SOF,-,-,,,-,-,,2018-04-14 01:19:27,2018-04-13 22:00:00,,
EZY8672, AIRBUS A319,2018-04-13,23:55,ALICANTE-ELCHE,ALC,N,El vuelo ha despegado a las 23:48,10,22,Nubes altas,,,,-,LONDRES /GATWICK,LGW,-,-,,,-,-,,2018-04-14 01:19:26,2018-04-13 23:55:00,,
AFL2605, 32B,2018-04-13,23:40,MADRID-BARAJAS ADOLFO SUÁREZ,MAD,1,El vuelo ha despegado a las 23:27,5,17,Nubes altas,,,,-,MOSCU /SHEREMETYEVO,SVO,-,-,,,-,-,,2018-04-14 01:19:26,2018-04-13 23:40:00,,
EWG547, AIRBUS A320,2018-04-13,23:15,IBIZA,IBZ,1,El vuelo ha despegado a las 23:25,12,16,Llovizna ,,2,,-,COLONIA/BONN,CGN,-,-,,,-,-,,2018-04-14 01:19:26,2018-04-13 23:15:00,,
EZY6058, AIRBUS A319,2018-04-13,23:50,MALAGA-COSTA DEL SOL,AGP,2,El vuelo ha despegado a las 23:50,11,21,Despejado,,,,-,BRISTOL,BRS,-,-,,,-,-,,2018-04-14 01:19:26,2018-04-13 23:50:00,,
EZY3216, AIRBUS A319,2018-04-13,23:55,PALMA DE MALLORCA,PMI,N,El vuelo ha despegado a las 00:11,11,15,Lluvia,,,,-,LONDRES /STANSTED,STN,-,-,,,-,-,,2018-04-14 01:19:26,2018-04-13 23:55:00,,
EZY2228, AIRBUS A319,2018-04-13,23:50,ALICANTE-ELCHE,ALC,N,El vuelo ha despegado a las 00:04,10,22,Nubes altas,,,,-,LONDRES /LUTON,LTN,-,-,,,-,-,,2018-04-14 01:19:25,2018-04-13 23:50:00,,
EZY1910, AIRBUS A320,2018-04-13,23:45,PALMA DE MALLORCA,PMI,N,El vuelo ha despegado a las 23:51,11,15,Lluvia,,,,-,MANCHESTER,MAN,-,-,,,-,-,,2018-04-14 01:19:24,2018-04-13 23:45:00,,
EZY6076, 32A,2018-04-13,23:45,ALICANTE-ELCHE,ALC,N,El vuelo ha despegado a las 00:09,10,22,Nubes altas,,,,-,BRISTOL,BRS,-,-,,,-,-,,2018-04-14 01:19:24,2018-04-13 23:45:00,,
EZY2768, 32A,2018-04-13,21:50,BARCELONA-EL PRAT,BCN,T2 C,El vuelo ha despegado a las 23:33,13,17,Abertura de claros,,,,-,MILAN /MALPENSA,MXP,-,-,,,-,-,,2018-04-14 01:19:24,2018-04-13 21:50:00,,
EZY2410, 32A,2018-04-13,23:45,MALAGA-COSTA DEL SOL,AGP,2,El vuelo ha despegado a las 23:43,11,21,Despejado,,,,-,LONDRES /LUTON,LTN,-,-,,,-,-,,2018-04-14 01:19:24,2018-04-13 23:45:00,,
EZY7122, 32A,2018-04-13,23:35,ALICANTE-ELCHE,ALC,N,El vuelo ha despegado a las 23:36,10,22,Nubes altas,,,,-,LIVERPOOL,LPL,-,-,,,-,-,,2018-04-14 01:19:23,2018-04-13 23:35:00,,
